"","Basal_1","Basal_2","Basal_3","Luminal_1","Luminal_2","Luminal_3"
"ENSG00000069482",756.627389050896,288.917186924263,527.881116190204,229.297356912239,182.613517123446,305.272691020363
"ENSG00000069493",310.709708876522,444.33470816628,371.776194670922,524.393085807991,696.479460656862,2002.46755268656
"ENSG00000069509",617.837749639194,498.133080903901,562.799322319517,861.360505965977,682.677276223114,786.430972231268
"ENSG00000069535",15.2220894838642,9.96266161807802,14.378084876776,16.9480655109046,3.18511948471126,4.04334690093197
"ENSG00000069667",1212.39465653836,5773.36240767621,1511.75292418673,1296.02853906918,6002.88852218582,2049.97687877251
"ENSG00000069702",1215.08090762375,953.426716850067,1146.13876589157,1665.89514521892,1465.15496296718,2233.94916276491
"ENSG00000069764",12.5358383984764,17.9327909125404,2.05401212525371,49.8472515026607,39.2831403114389,47.5093260859506
"ENSG00000069812",659.026932948473,1587.05199575983,588.474473885188,401.768847111445,511.742530543609,385.12879231377
"ENSG00000069849",35557.9056172783,21540.2706844465,28221.0995949234,18301.9168617169,10566.1030372822,16486.7469885501
"ENSG00000069869",4492.30723179686,3959.16172702421,4151.15850513775,4636.7913347775,3528.05068256517,5341.26125613113
"ENSG00000069943",365.330147612741,323.786502587536,370.749188608295,525.390030838044,389.646283629678,421.518914422158
"ENSG00000069956",19337.4261466783,23051.6064519089,16989.7612940361,18087.5736802555,22421.1177593775,19512.1813071724
"ENSG00000069966",1917.08785793843,2474.72514593058,1482.99675443318,2273.03466852133,2531.10828385055,1905.42722706419
"ENSG00000069974",933.919960686491,596.763430922873,844.198983479275,2172.34322048595,1181.67932882788,1578.92696481393
"ENSG00000069998",3832.38488181993,2723.79168638253,3124.15244251089,2337.83609547479,1954.60165711781,2096.47536813322
"ENSG00000070010",4992.84535070745,3791.78901184049,4402.77499048133,5304.74450491315,3273.24112378827,3952.371595661
"ENSG00000070019",21.4900086831024,13.9477262653092,49.2962910060891,23.9266807212771,58.3938572197064,124.332917203658
"ENSG00000070047",147.743809696329,3448.0771860168,3971.43244417805,54.8319766529268,2409.01203693662,3089.11703231202
